Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11599342,108182FE,true,Tx,0,8,0C,79,00,00,00,00,00,00,
11600521,108182FE,true,Tx,0,8,0D,79,00,00,00,00,00,00,
11601375,1081827E,true,Rx,0,8,23,76,00,00,00,00,00,00,
11601634,108182FE,true,Tx,0,8,0E,79,00,00,00,00,00,00,
11602761,108182FE,true,Tx,0,8,0F,79,00,00,00,00,00,00,
11603719,1081827E,true,Rx,0,8,24,76,00,00,00,00,00,00,
11603857,108182FE,true,Tx,0,8,00,7A,00,00,00,00,00,00,
11605016,108182FE,true,Tx,0,8,01,7A,00,00,00,00,00,00,
11605989,1081827E,true,Rx,0,8,25,76,00,00,00,00,00,00,
11606315,108182FE,true,Tx,0,8,02,7A,00,00,00,00,00,00,
11607878,108182FE,true,Tx,0,8,03,7A,00,00,00,00,00,00,
11608305,1081827E,true,Rx,0,8,26,76,00,00,00,00,00,00,
11610102,108182FE,true,Tx,0,8,04,7A,00,00,00,00,00,00,
11610613,1081827E,true,Rx,0,8,27,76,00,00,00,00,00,00,
11612347,108182FE,true,Tx,0,8,05,7A,00,00,00,00,00,00,
11612982,1081827E,true,Rx,0,8,28,76,00,00,00,00,00,00,
11613916,108182FE,true,Tx,0,8,06,7A,00,00,00,00,00,00,
11615257,1081827E,true,Rx,0,8,29,76,00,00,00,00,00,00,
11615064,108182FE,true,Tx,0,8,07,7A,00,00,00,00,00,00,
11616157,108182FE,true,Tx,0,8,08,7A,00,00,00,00,00,00,
11617565,1081827E,true,Rx,0,8,2A,76,00,00,00,00,00,00,
11617314,108182FE,true,Tx,0,8,09,7A,00,00,00,00,00,00,
11618401,108182FE,true,Tx,0,8,0A,7A,00,00,00,00,00,00,
11619543,108182FE,true,Tx,0,8,0B,7A,00,00,00,00,00,00,
11619900,1081827E,true,Rx,0,8,2B,76,00,00,00,00,00,00,
11620702,108182FE,true,Tx,0,8,0C,7A,00,00,00,00,00,00,
11621825,108182FE,true,Tx,0,8,0D,7A,00,00,00,00,00,00,
11622205,1081827E,true,Rx,0,8,2C,76,00,00,00,00,00,00,
11623338,108182FE,true,Tx,0,8,0E,7A,00,00,00,00,00,00,
11624529,1081827E,true,Rx,0,8,2D,76,00,00,00,00,00,00,
11624881,108182FE,true,Tx,0,8,0F,7A,00,00,00,00,00,00,
11626465,108182FE,true,Tx,0,8,00,7B,00,00,00,00,00,00,
11626822,1081827E,true,Rx,0,8,2E,76,00,00,00,00,00,00,
11627731,108182FE,true,Tx,0,8,01,7B,00,00,00,00,00,00,
11629177,1081827E,true,Rx,0,8,2F,76,00,00,00,00,00,00,
11629156,108182FE,true,Tx,0,8,02,7B,00,00,00,00,00,00,
11630337,108182FE,true,Tx,0,8,03,7B,00,00,00,00,00,00,
11631505,1081827E,true,Rx,0,8,20,77,00,00,00,00,00,00,
11631533,108182FE,true,Tx,0,8,04,7B,00,00,00,00,00,00,
11632669,108182FE,true,Tx,0,8,05,7B,00,00,00,00,00,00,
11633842,1081827E,true,Rx,0,8,01,77,00,00,00,00,04,00,
11633872,108182FE,true,Tx,0,8,06,7B,00,00,00,00,00,00,
11634991,1081827E,true,Rx,0,8,22,77,00,00,00,00,00,00,
11634995,108182FE,true,Tx,0,8,07,7B,00,00,00,00,00,00,
11636155,108182FE,true,Tx,0,8,08,7B,00,00,00,00,00,00,
11637263,108182FE,true,Tx,0,8,09,7B,00,00,00,00,00,00,
11638439,1081827E,true,Rx,0,8,23,77,00,00,00,00,00,00,
11638417,108182FE,true,Tx,0,8,0A,7B,00,00,00,00,00,00,
11640772,1081827E,true,Rx,0,8,24,77,00,00,00,00,00,00,
11643082,1081827E,true,Rx,0,8,25,77,00,00,00,00,00,00,
11645380,1081827E,true,Rx,0,8,26,77,00,00,00,00,00,00,
11647719,1081827E,true,Rx,0,8,27,77,00,00,00,00,00,00,
11649996,1081827E,true,Rx,0,8,28,77,00,00,00,00,00,00,
11651661,108182FE,true,Tx,0,8,0B,7B,00,00,00,00,00,00,
11652327,1081827E,true,Rx,0,8,29,77,00,00,00,00,00,00,
11654726,1081827E,true,Rx,0,8,2A,77,00,00,00,00,00,00,
11656991,1081827E,true,Rx,0,8,2B,77,00,00,00,00,00,00,
11659270,1081827E,true,Rx,0,8,2C,77,00,00,00,00,00,00,
11661565,1081827E,true,Rx,0,8,2D,77,00,00,00,00,00,00,
11663867,1081827E,true,Rx,0,8,2E,77,00,00,00,00,00,00,
11666223,1081827E,true,Rx,0,8,2F,77,00,00,00,00,00,00,
11668590,1081827E,true,Rx,0,8,20,78,00,00,00,00,00,00,
11669758,108182FE,true,Tx,0,8,0C,7B,00,00,00,00,00,00,
11670886,1081827E,true,Rx,0,8,01,78,00,00,00,03,A1,60,
11673229,1081827E,true,Rx,0,8,22,78,00,00,00,00,00,00,
11675558,1081827E,true,Rx,0,8,23,78,00,00,00,00,00,00,
11677866,1081827E,true,Rx,0,8,24,78,00,00,00,00,00,00,
